time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/std,train/loss,train/clip_fraction,train/value_loss,train/clip_range
46,820,114,8.20734729,94208,9.0,450,0.0005130513,-0.004163505462929607,-15.711295986175537,0.0001,0.06452494859695435,1.0095473527908325,14.240039825439453,0.001025390625,29.19731330871582,0.1
47,820,117,7.456729130000001,96256,9.3,460,0.00040503248,-0.003390175546519458,-15.713746738433837,0.0001,0.06352746486663818,1.0097378492355347,16.680665969848633,0.00029296875,34.083421325683595,0.1
48,820,119,7.818463679999999,98304,9.1,470,0.00046953568,-0.004065754637122154,-15.715418338775635,0.0001,0.08223932981491089,1.0098625421524048,14.942547798156738,0.00087890625,30.575399589538574,0.1
49,820,122,8.5166337,100352,9.5,480,0.0007190879,-0.004548413609154522,-15.716922760009766,0.0001,0.0776292085647583,1.0100327730178833,13.358786582946777,0.003125,27.42531681060791,0.1
50,820,124,7.730612579999998,102400,10.45,490,0.00070664793,-0.004632668173871935,-15.719195652008057,0.0001,0.07023262977600098,1.0103044509887695,14.268412590026855,0.002880859375,29.203933715820312,0.1
51,820,127,7.213727179999999,104448,9.34,500,0.00068211777,-0.004100505774840712,-15.722533035278321,0.0001,0.06178218126296997,1.0106247663497925,19.781709671020508,0.0033203125,40.31322975158692,0.1
52,820,129,7.281593760000001,106496,9.93,510,0.00060043205,-0.004143425449728966,-15.725660705566407,0.0001,0.07155120372772217,1.0108585357666016,15.712235450744629,0.001611328125,32.1490062713623,0.1
53,820,132,8.748571169999998,108544,9.4,520,0.0007920383,-0.005012923153117299,-15.72795753479004,0.0001,0.06647753715515137,1.0110615491867065,18.424091339111328,0.00419921875,37.541808700561525,0.1
54,820,134,8.53612706,110592,9.02,530,0.0011449707,-0.005605113971978426,-15.730035305023193,0.0001,0.05400007963180542,1.0112265348434448,16.916528701782227,0.008544921875,34.540808868408206,0.1
55,820,137,8.072001479999999,112640,8.88,540,0.00092087244,-0.004431629739701748,-15.73156681060791,0.0001,0.05421626567840576,1.0113428831100464,18.825075149536133,0.005419921875,38.43174324035645,0.1
56,820,139,8.411845820000002,114688,10.3,550,0.00059491524,-0.003981491131708026,-15.732987785339356,0.0001,0.03978466987609863,1.011515736579895,17.640491485595703,0.00322265625,36.069867324829104,0.1
57,820,142,9.05999837,116736,10.25,560,0.000516227,-0.004003378585912288,-15.735219287872315,0.0001,0.05197185277938843,1.011755108833313,17.38433265686035,0.001318359375,35.49704780578613,0.1
58,820,144,7.68182285,118784,9.3,570,0.0006331587,-0.004340950981713831,-15.738031578063964,0.0001,0.05948519706726074,1.0120238065719604,19.391700744628906,0.001904296875,39.58298683166504,0.1
59,820,147,9.040008929999997,120832,9.0,580,0.00085439987,-0.005060248030349612,-15.741453170776367,0.0001,0.08949846029281616,1.0124322175979614,14.17700481414795,0.004736328125,29.052465438842773,0.1
60,820,149,9.51673422,122880,9.65,590,0.0009212163,-0.005191602627746761,-15.745895862579346,0.0001,0.08361351490020752,1.0127571821212769,18.409791946411133,0.0060546875,37.622232818603514,0.1
61,820,152,9.184767520000001,124928,9.74,600,0.00079471903,-0.004511031485162675,-15.748938274383544,0.0001,0.05397826433181763,1.0130480527877808,18.105403900146484,0.0037109375,36.97005958557129,0.1
62,820,154,7.7592314799999995,126976,8.27,610,0.0011350743,-0.006030100770294667,-15.752292251586914,0.0001,0.08178764581680298,1.0133534669876099,18.0781307220459,0.0078125,36.89924240112305,0.1
63,820,157,10.524511330000003,129024,10.69,620,0.0012116344,-0.00532373086316511,-15.755495262145995,0.0001,0.06851935386657715,1.0136480331420898,15.245575904846191,0.010986328125,31.22651958465576,0.1
64,820,159,9.97961725,131072,10.62,630,0.00090588105,-0.004380264040082693,-15.7580961227417,0.0001,0.054567933082580566,1.0137702226638794,17.7401123046875,0.006884765625,36.27360572814941,0.1
65,820,162,8.78352944,133120,9.42,640,0.0005750891,-0.0033652941696345807,-15.758320999145507,0.0001,0.05403560400009155,1.013696551322937,25.613380432128906,0.00126953125,52.16688995361328,0.1
66,820,164,8.544958920000001,135168,9.78,650,0.0006250511,-0.004360020603053271,-15.757869338989257,0.0001,0.1076006293296814,1.0137661695480347,14.874533653259277,0.00166015625,30.459514999389647,0.1
67,820,167,10.16203394,137216,10.1,660,0.00070510636,-0.003944547870196402,-15.758708286285401,0.0001,0.06915950775146484,1.0137600898742676,22.043407440185547,0.0021484375,44.8468994140625,0.1
68,820,169,8.69747269,139264,10.01,670,0.00063496025,-0.003657133225351572,-15.757829570770264,0.0001,0.039088428020477295,1.0136253833770752,25.597061157226562,0.00205078125,52.156538772583005,0.1
69,820,172,8.378145490000001,141312,9.52,680,0.0005547913,-0.0045348574640229344,-15.756736660003662,0.0001,0.07027363777160645,1.0136135816574097,17.28264045715332,0.001806640625,35.38793754577637,0.1
70,820,174,9.07034446,143360,9.74,690,0.0007615286,-0.005245025909971446,-15.75779094696045,0.0001,0.09759217500686646,1.0138570070266724,14.727909088134766,0.0033203125,30.220479202270507,0.1
71,820,177,8.899879579999999,145408,10.75,700,0.00092757784,-0.004948143404908479,-15.760536193847656,0.0001,0.08838611841201782,1.0140224695205688,19.013702392578125,0.00595703125,38.823950576782224,0.1
72,820,179,8.67909669,147456,9.79,710,0.00064401515,-0.0038956167409196496,-15.762053298950196,0.0001,0.08790737390518188,1.01422917842865,22.956274032592773,0.002783203125,46.78271369934082,0.1
73,820,182,9.65250737,149504,10.14,720,0.0007710628,-0.005106750642880797,-15.76499900817871,0.0001,0.10923206806182861,1.0145331621170044,14.60370922088623,0.0041015625,29.917918968200684,0.1
